t,trafo_0_loading_pct
0,45.869930057265954
1,48.56035256099513
2,46.67473687733965
3,47.43319802971379
4,53.18625025534769
5,53.670355733047
6,53.79311804145114
7,57.05479955713136
8,61.6686464226773
9,60.08222108118666
10,60.55253342183151
11,65.96527909151042
12,67.42975950779385
13,67.41162545666748
14,67.07117136136472
15,70.8962416683743
16,66.29407686995242
17,66.16688907554159
18,65.39314811294679
19,65.83453096268912
20,68.98278191880125
21,66.76645717367863
22,63.5287025317114
23,70.51050302824294
24,71.23816004269034
25,69.29335391922295
26,71.47372974671694
27,65.65733866659046
28,71.05493242859163
29,69.8973270851728
30,59.57288196589888
31,64.64168861859584
32,56.10074105522037
33,53.18471504161517
34,53.054001811212224
35,53.87384115695044
36,60.77538382633144
37,66.41774222681846
38,68.49271570894877
39,63.71424643018688
40,73.88788199049529
41,66.79485229353325
42,64.72902352876308
43,68.1669289562095
44,68.43277554373387
45,70.46114506675225
46,61.4067228946881
47,64.61917492345154
48,68.78481186260306
49,73.37207134255364
50,73.25516248142554
51,72.60834419594654
52,66.06559832281607
53,65.30567280237253
54,65.08948132861524
55,66.31036704203636
56,67.20146593698169
57,69.01756502179236
58,60.650696650625804
59,66.08471730162918
60,59.824259274233114
61,65.353040279641
62,73.37437354774171
63,73.1191102905051
64,64.64792649721505
65,69.17604212045737
66,73.34377681818688
67,71.03692293496283
68,70.5992637871273
69,63.10153672776093
70,61.24365816215196
71,62.49398185922873
72,63.269318665471964
73,70.18468969463039
74,75.51804035869736
75,75.55618749424964
76,75.54231194058247
77,75.27141640858487
78,75.04177989571167
79,74.84112337662089
80,74.72493453908866
81,74.68246501937519
82,61.44520576407964
83,61.045084900774235
84,63.279628359892804
85,68.16019854225671
86,62.90691181273095
87,62.798525676765635
88,63.07681366962781
89,63.09981401044649
90,58.05804568842062
91,70.99818240743716
92,71.7575558970664
93,72.47373097474721
94,72.1160295470794
95,72.05738546417285
